timestamp,unreal_feelings,unreal_favourite,coding_languages,lucky_number,music_genre,object_choice,object_reason
"2024/10/17 12:59:01 pm CET","Confident","World Building","I am new to coding!!","3","Rap/HipHop","Dog Toy","i can play with doggo"
"2024/10/17 1:01:24 pm CET","I am lost (help)","World Building","C++;JavaScript","0","R&b","Laptop","Idk"
"2024/10/17 1:01:57 pm CET","I am lost (help)","Blueprints","Python;C++;JavaScript;HTML, CSS, CircuitPython","7","Reggaetón","Suitcase","I am always carrying loads "
"2024/10/17 1:03:52 pm CET","Im having fun","Looking at the marketplace","I am new to coding!!","52","Pop","Bread","It smells good!"
"2024/10/17 1:06:52 pm CET","Im having fun","World Building","C#;C++","7","Jazz/Blues","Bread","yummy bread"
"2024/10/17 1:09:54 pm CET","Im having fun","Blueprints","Python","3","Rock/Metal","Laptop","smart"
"2024/10/17 1:23:11 pm CET","Im having fun","World Building","I am new to coding!!","7","Electronic","Dog Toy","Because it's cute"
"2024/10/17 1:27:06 pm CET","Im having fun","Blueprints","JavaScript","12","Lofi","Table","stable"
"2024/10/17 1:29:10 pm CET","Im having fun","World Building","I am new to coding!!","3","Pop","Laptop","i spend too much time looking at one "
"2024/10/17 1:32:55 pm CET","Im having fun","Blueprints","I am new to coding!!","36","Electronic","Table","tables are dope"
"2024/10/17 1:36:34 pm CET","Im having fun","Blueprints","JavaScript","8","Jazz/Blues","Bread","Because I wanna be made of money (aka bread)"
"2024/10/17 1:43:31 pm CET","Im having fun","Looking at the marketplace","I am new to coding!!","0","Depends on my mood!","Dog Toy","I love dogs"
"2024/10/17 1:52:59 pm CET","Im having fun","Blueprints","Python;JavaScript;CSS + HTML","13","Electronic","Bread","Bread is funny lol"
"2024/10/17 1:59:14 pm CET","I am lost (help)","Blueprints","Python;C++;JavaScript","1","Rap/HipHop","Bread","Looks simple, but complex ;)"
"2024/10/17 2:08:39 pm CET","Meh","Looking at the marketplace","R","3","Indie","Suitcase","Hard exterior- but the inside is usually a surprise"
"2024/10/17 2:09:07 pm CET","Meh","Blueprints","I am new to coding!!","7","Pop","Bread",""
"2024/10/20 2:07:37 pm CET","Im having fun","getting familiar with it","I am new to coding!!","0","Afrobeats... love all genres too","Laptop","I can come alive "